title,artist,isHot,popularity,album_popularity,genres
To Go Home,Daniel Johnston,False,8,15,"['alternative rock', 'anti-folk', 'chamber pop', 'countrygaze', 'lo-fi', 'melancholia', 'noise pop', 'outsider']"
Duh Duh Da - Joe Smooth's Mix,Lidell Townsell,False,0,0,"['chicago house', 'classic house']"
Let It All Go,Krayzie Bone,False,8,28,"['dirty south rap', 'gangster rap', 'ohio hip hop']"
Tabernacle Song,Fake Problems,False,15,26,"['folk punk', 'orgcore']"
(You're) Timeless To Me,Christopher Walken,False,38,66,[]
Dig Up Her Bones,Misfits,False,55,53,"['horror punk', 'new jersey hardcore', 'new jersey punk', 'punk']"
Cien Años,Selena,False,36,44,"['mexican pop', 'tejano']"
Collides With Beauty,ATB,False,23,48,"['german dance', 'german techno', 'german trance', 'trance']"
A Little Of You - Remastered Version,Eurythmics,False,23,54,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
2 Fists Full Of Nothing,The Bruisers,False,3,21,"['american oi', 'boston punk', 'oi']"
In My Heart,Paul Avgerinos,False,0,8,[]
My Own Way,Evolution,False,0,0,[]
Pick Me Up On Your Way Down - Live,Country's Family Reunion,False,1,11,[]
Beloki,Peloton,False,0,0,[]
Ich bleib so wie ich bin (feat. Ado),Eko Fresh,False,5,22,"['cologne hip hop', 'german hip hop', 'turkish hip hop']"
Shenandoah,The Statler Brothers,False,19,45,"['country', 'country rock']"
Schauet her,Der Plan,False,0,5,"['dusseldorf electronic', 'neue deutsche welle', 'zolo']"
Smith & Wesson,Frenchy,False,0,0,[]
Vietnamese Baby,New York Dolls,False,25,50,"['early us punk', 'glam punk', 'glam rock', 'protopunk', 'punk']"
Bring Out Your Dead,Cadacross,False,0,0,"['finnish death metal', 'finnish melodeath', 'folk metal']"
Angry Chair (2022 Remaster),Alice In Chains,False,53,77,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']"
The Modern Rome Burning,Anti-Flag,False,9,21,"['punk', 'skate punk']"
Spawn (Again),Silverchair,False,30,52,"['alternative metal', 'alternative rock', 'australian alternative rock', 'australian psych', 'australian rock', 'grunge', 'nu metal', 'post-grunge']"
Suck My Blood,Beherit,False,18,31,"['black metal', 'finnish black metal', 'lapland metal', 'war metal']"
Friends Of All Races,Rocky Whatule,False,0,0,[]
Love Shines Through - Dream Album Version,Michelle Tumes,False,2,13,[]
White Jetta,Casiotone For The Painfully Alone,False,9,27,"['anti-folk', 'indietronica', 'lo-fi']"
Jane 5,EPMD,False,12,51,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop']"
Canon In D Major (J. Pachelbel),Mariano Yanani,False,11,24,[]
Need to Shout,Architecture In Helsinki,False,6,29,"['alternative dance', 'australian indie', 'indietronica']"
La nuit,Patrick Eudeline,False,0,1,[]
"You Know How I Do - Live At Bamboozle, East Rutherford, NJ / 2009",Taking Back Sunday,False,11,21,"['emo', 'neon pop punk', 'pop punk', 'post-hardcore', 'screamo']"
Io vivo,Piero Esteriore,False,3,15,[]
Ay Nare Nare,Grup Knar,False,7,12,['duduk']
Breath Of Fresh Air,Warrior King,False,8,37,"['lovers rock', 'modern reggae', 'old school dancehall', 'reggae', 'riddim', 'roots reggae']"
She Left Me a Mule,Sonny Landreth,False,3,17,"['blues', 'blues rock', 'modern blues', 'southern rock']"
Destiny,Buju Banton,False,44,55,"['dancehall', 'reggae fusion']"
"Church Sonata in F Major, K. 244 - Live",Wolfgang Amadeus Mozart,False,0,0,"['classical', 'classical era']"
"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet,False,68,64,"['boy band', 'new romantic', 'new wave pop', 'soft rock', 'sophisti-pop']"
Maracaia,Timbalada,False,14,29,"['axe', 'samba reggae']"
There Are More Questions Than Answers,Johnny Nash,False,8,48,[]
Lebaran Sebentar Lagi,BIMBO,False,11,8,['classic indo pop']
Wang Wang Blues,Hank Penny & His California Cowhands,False,0,0,[]
Suba,Jason Miles,False,0,3,[]
Beauty And The Beast - Remastered,Nightwish,False,31,41,"['fantasy metal', 'finnish metal', 'finnish power metal', 'gothic metal', 'gothic symphonic metal', 'opera metal', 'power metal', 'symphonic metal']"
The Lonesome Boatman,The Fureys,False,5,28,['irish folk']
Police Story,Black Flag,False,33,54,"['alternative rock', 'california hardcore', 'hardcore punk', 'punk']"
Through the Looking Glass,Chris Standring,False,19,31,['smooth jazz']
Alma Mater,Moonspell,False,41,43,"['gothic black metal', 'gothic metal', 'melodic death metal', 'metal', 'portuguese black metal', 'portuguese metal', 'portuguese rock', 'power metal']"
Prospection,Henri Pousseur,False,0,0,"['acousmatic', 'belgian contemporary classical', 'belgian experimental', 'musique concrete', 'serialism']"
Dontchaletmecatchya,The Wiyos,False,3,28,['modern old-time']
Louie Louie,Eddie & The Subtitles,False,0,0,['deep punk rock']
Chase the Light,Dope Stars Inc.,False,4,17,"['cyberpunk', 'industrial metal', 'italian metal', 'neue deutsche harte']"
Good Texan,The Vaughan Brothers,False,36,46,"['blues', 'blues rock', 'country rock', 'electric blues', 'modern blues', 'southern rock', 'texas blues']"
Neglected,Marygold,False,0,0,[]
Chumpman Blues,Scott Ainslie,False,0,0,[]
Russian Doll,Flink,False,0,0,[]
My M.B. Thang,Tyree,False,0,21,[]
Big Legged Woman,"Robert Lockwood, Jr.",False,4,23,"['blues', 'chicago blues', 'country blues', 'delta blues', 'traditional blues']"
Bull Dog,The Shangri-Las,False,3,17,"['brill building pop', 'classic girl group', 'rock-and-roll']"
Como nuestro amor no hay dos,Cabas,False,4,33,"['colombian pop', 'latin pop', 'reggaeton colombiano']"
"One Year, Six Months",Yellowcard,False,39,71,"['alternative metal', 'pop punk', 'post-grunge', 'socal pop punk']"
Trows Kind,Elvenking,False,13,27,"['fantasy metal', 'folk metal', 'gothic symphonic metal', 'italian folk metal', 'italian metal', 'italian power metal', 'melodic metal', 'power metal', 'tolkien metal']"
Song For Stephin Merritt,Kira Skov,False,0,5,['danish singer-songwriter']
Change Clothes,JAY-Z,False,46,66,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Ascendant,Keep Of Kalessin,False,9,13,"['black metal', 'norwegian black metal', 'norwegian metal', 'symphonic black metal', 'technical black metal', 'viking metal']"
Cai Dentro,Gabriel Grossi,False,1,3,"['brazilian modern jazz', 'harmonica jazz']"
El Capiro,Mercedes Castro,False,1,4,['ranchera']
Si Te Dicen Por Ahi,Charlie Cruz,False,1,18,['salsa']
Pickled Heads,Elliot Goldenthal,False,0,6,"['classic soundtrack', 'soundtrack']"
If You Ask Me,Nick Colionne,False,30,47,['smooth jazz']
"Werewolf, Semen And Blood",Beherit,False,18,37,"['black metal', 'finnish black metal', 'lapland metal', 'war metal']"
Need More Blues (feat. Hammie Nixon),Sleepy John Estes,False,0,0,"['country blues', 'memphis blues', 'traditional blues']"
Moritat (Mack The Knife) - Live From The Desert Inn / 1971,Bobby Darin,False,2,16,"['adult standards', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']"
"Beauty Queen (12"" Spoon Club Mix)",SNAP!,False,2,16,"['diva house', 'eurodance', 'german techno', 'hip house']"
Revelations,Marco Beltrami,False,0,7,"['orchestral soundtrack', 'soundtrack']"
On The Road To Emmaus,The Steeles,False,23,20,['family gospel']
離家出走,Janice Vidal,False,49,48,['cantopop']
The Arcane Dominion,Eluveitie,False,24,46,"['celtic metal', 'folk metal', 'gothic metal', 'gothic symphonic metal', 'hurdy-gurdy', 'power metal', 'swiss metal', 'symphonic metal']"
Active,Dark Party,False,6,24,[]
Cuando Quieres Tu,La Sonora Santanera,False,6,28,"['bolero', 'bolero mexicano', 'tropical']"
Djessy,Kanda Bongo Man,False,6,10,"['afropop', 'soukous', 'zilizopendwa']"
Times Like These - EDX's Indian Summer Remix,Albin Myers,False,10,7,"['electro house', 'progressive electro house']"
Into Battle,Ensiferum,False,34,43,"['finnish melodeath', 'finnish metal', 'folk metal', 'melodic death metal', 'metal', 'nordic folk metal', 'power metal', 'symphonic metal', 'viking metal']"
Aquel Amor,Flor Silvestre,False,20,29,"['mariachi', 'ranchera']"
Unicorn,David Lynch,False,0,0,[]
Amdokwe,Vusi Mahlasela,False,0,7,['south african jazz']
Nassau Town,John D. Loudermilk,False,0,3,['rock-and-roll']
Look Me In The Eye,Margaret Becker,False,7,19,['deep christian rock']
Harry Flowers,William Orbit,False,20,41,"['classic progressive house', 'downtempo', 'intelligent dance music']"
Broke Down,Radio Moscow,False,38,48,['modern blues rock']
Orgasme tellurique,Stille Volk,False,0,3,"['medieval folk', 'musica occitana']"
Gonna Take a Miracle,The Elders,False,3,14,['celtic rock']
Too Late (Orange Factory Extended Mix),Tina Ann,False,0,10,['deep vocal house']
Hypnotise the Cat,Tam Tam Go!,False,0,37,"['indie extremena', 'spanish new wave', 'spanish pop', 'spanish pop rock']"
Dime Si Me Quieres,Conjunto Mar Azul,False,0,0,"['chilena', 'musica costena']"
Conversation,Jimmy Riley,False,4,6,"['lovers rock', 'old school dancehall', 'reggae', 'rocksteady', 'roots reggae']"
Liberty,Heavenly,False,22,44,"['c86', 'french metal', 'melodic metal', 'neo classical metal', 'power metal', 'symphonic metal']"
Hiraeth am Feirion,The Gentle Good,False,3,24,"['cardiff indie', 'welsh folk']"
Die Art von Mann,1. Futurologischer Congress,False,3,2,['neue deutsche welle']
The Call,Backstreet Boys,False,59,69,"['boy band', 'dance pop', 'pop']"
Let the Chips Fall,Charley Pride,False,13,49,"['classic country pop', 'country', 'country rock', 'nashville sound']"
I.C.U.,Saigon Kick,False,7,24,['glam metal']
Get Picked Up,Crazy Girl,False,0,5,[]
Tómame o Déjame,Nicho Hinojosa,False,43,53,"['latin pop', 'rock en espanol', 'trova']"
La Barca,Nelson Ned,False,26,45,"['bolero', 'mexican rock-and-roll', 'pop romantico', 'ranchera']"
The Wonders,Yami Bolo,False,0,11,"['deep ragga', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']"
Ambulance Man,Memphis Jug Band,False,0,8,"['acoustic blues', 'appalachian folk', 'jug band', 'memphis blues', 'traditional blues', 'traditional folk']"
Laziness,Juan Farcik,False,0,0,[]
Dama Dam Mast Kalander,Boota Pardesi,False,0,0,[]
Printemps - Chant,Les Ogres De Barback,False,16,31,"['french folk pop', 'french reggae', 'french rock']"
The Lord Will Go Before You,Janet Paschal,False,1,15,['southern gospel']
Oh Little Town Of Bethlehem,Phillips Brooks,False,6,20,[]
Engel - Live,Der Plan,False,0,0,"['dusseldorf electronic', 'neue deutsche welle', 'zolo']"
Slips Of Paper,Dave Brockie Experience,False,4,22,['comedy rock']
Refuge,Matisyahu,False,31,39,['reggae fusion']
Backseat Driver,Debbie Davies,False,1,24,"['electric blues', 'modern blues', 'power blues-rock']"
Sex,Bow Wow Wow,False,8,33,"['new romantic', 'new wave', 'new wave pop']"
Old Memory,Ashton Shepherd,False,12,32,"['country dawn', 'country road']"
Death of Me,Smash Palace,False,0,0,"['modern power pop', 'underground power pop']"
Freight train,Elizabeth Cotten,False,40,46,"['american folk revival', 'piedmont blues', 'traditional blues', 'traditional folk']"
Ooh la La,Tyrone Davis,False,15,22,"['chicago soul', 'southern soul']"
Vennette,Maria Bamford,False,9,23,"['comedienne', 'comedy']"
Procession,Vangelis,False,19,30,"['cyberpunk', 'synthesizer']"
Multiplayer,Babylon Disco,False,0,0,[]
Of Days Gone By,Dj Frankie Green,False,16,14,[]
Lost in the Funhouse Again (Remastered),Michael Stanley Band,False,0,6,['heartland rock']
Mine Again,Mariah Carey,False,36,71,"['dance pop', 'pop', 'urban contemporary']"
No One Knows,George Nooks,False,1,10,"['deep ragga', 'gospel reggae', 'lovers rock', 'old school dancehall', 'roots reggae']"
"X Marks The Spot / Escape From Venice - From ""Indiana Jones And The Last Crusade""",John Williams,False,3,48,"['orchestral soundtrack', 'soundtrack']"
"Ghood Family (Feat. Bizzy, Black Nine, BIBI, MRSHLL)",Tiger JK,False,6,4,['k-rap']
Reach For The Ground,The Ghost Of Lemora,False,0,3,['deathrock']
Mule Get Up In The Alley,Cannon's Jug Stompers,False,0,7,"['country blues', 'jug band', 'memphis blues', 'traditional blues', 'traditional folk']"
Existing Alone,Rhian Sheehan,False,0,11,"['compositional ambient', 'nz electronic', 'oceania soundtrack']"
Small Axe - B Is Version,Bob Marley & The Wailers,False,24,40,"['reggae', 'roots reggae']"
Telling Me Lies,Dolores Keane,False,6,34,"['celtic', 'irish folk']"
Calling Dr. Zarkov,Robin Frederick,False,0,0,[]
I Know a Man,Rev. Timothy Wright,False,6,26,['gospel']
Please Come Home For Christmas,Lou Ann Barton,False,14,37,['texas blues']
Hot Cross Bun ' Mikey Dread,Mikey Dread,False,0,2,"['dub', 'old school dancehall', 'reggae', 'roots reggae']"
Hot Tamale Baby,Buckwheat Zydeco,False,15,28,['zydeco']
I.a.i,Royal S,False,0,0,['jumpstyle']
Mi Amante Amigo,Rocío Jurado,False,35,51,"['cancion melodica', 'copla', 'pop romantico']"
Find Me Tonight - Wake Up! Wake Up! Album Version,Everyday Sunday,False,21,28,"['christian alternative rock', 'christian punk', 'christian rock']"
Everything I Desire,The Brooklyn Tabernacle Choir,False,4,19,['classic praise']
The Mission,Thirty Seconds To Mars,False,37,52,"['modern rock', 'post-grunge']"
First Boyfriend,Helen Love,False,0,6,"['welsh indie', 'welsh rock']"
The Tie That Binds,Moon Mullican,False,0,4,"['country boogie', 'western swing']"
Raza Cristalera,Los Morros Del Norte,False,22,30,"['corridos alternativos', 'norteno', 'tololoche']"
Just a Phase,Incubus,False,44,70,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'modern rock', 'nu metal', 'post-grunge', 'rock']"
Only A Look - Glad You're Here Album Version,The Nelons,False,0,1,"['family gospel', 'southern gospel']"
Do It,DJ Nasty,False,0,0,['ghettotech']
Love & Devotion,Sizzla,False,3,12,"['dancehall', 'reggae', 'reggae fusion']"
Just A Little Bit Of You,Michael Jackson,False,24,49,"['r&b', 'soul']"
Ubik the Breakz (feat. Martin Bettinghaus) - Radio Mix,Timo Maas,False,16,42,"['big beat', 'breakbeat', 'classic progressive house', 'nu skool breaks', 'tribal house']"
Cooling Out,Cocoa Tea,False,0,13,"['dancehall', 'lovers rock', 'old school dancehall', 'reggae', 'roots reggae']"
Lioraras,Los Niños De Sara,False,3,26,['rumba']
Little Drummer Boy,The Almost,False,30,41,"['christian alternative rock', 'neon pop punk', 'screamo']"
Brother Brick Says,Claw Hammer,False,0,1,[]
Silencio De Aguas Profundas,Alas,False,0,7,"['rock nacional', 'synth prog']"
Sting Me,The Black Crowes,False,40,54,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'hard rock', 'jam band', 'rock', 'southern rock']"
I See War,IYOV,False,0,0,[]
The Sun Shine Down My Way,Doug MacLeod,False,0,0,"['acoustic blues', 'blues']"
Hear Me Talking to You,Maxayn Lewis,False,11,28,[]
"Neighbor, Neighbor",Jimmy Hughes,False,21,33,['southern soul']
Mary Had a Little Lamb,Stevie Ray Vaughan,False,57,65,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'hard rock', 'instrumental rock', 'rock', 'texas blues']"
Den Mporo Na Figo - Live,Angela Dimitriou,False,1,21,"['greek pop', 'laiko']"
Skylark,Ann Hampton Callaway,False,1,22,['contemporary vocal jazz']
The Wrong Woman,Billy Price & Fred Chapellier,False,0,7,[]
Man On The Side,Bill Perry,False,0,18,['power blues-rock']
MVP,Corey,False,6,34,[]
Vuelve Junto A Mi - Remastered 2005,Los Chichos,False,7,31,"['pop flamenco', 'rumba']"
The Sun Shines from You,Teenage Fanclub,False,7,24,"['alternative rock', 'modern power pop', 'power pop', 'scottish indie', 'scottish rock', 'shoegaze']"
Poaki,Nicholas,False,1,7,[]
Midnight Wind - Mono,Jimmy Wakely,False,4,33,"['arkansas country', 'classic oklahoma country', 'cowboy western', 'western swing']"
Kick Jump - Part Jump,Cobra Killer,False,1,6,['digital hardcore']
Toot Toot Dixie Bound,Birmingham Jubilee Singers,False,0,0,"['gospel singers', 'vintage gospel']"
Smile,Marvin Sapp,True,6,34,['gospel']
There Is a Way,Jeff & Sheri Easter,False,2,28,"['family gospel', 'southern gospel']"
Ghastly Indoctrination,Dark Fortress,False,5,18,"['black metal', 'german black metal', 'melodic black metal']"
Rise,Eddie Turner,False,0,0,['power blues-rock']
Battle Of The Tom Tom,Shaman,False,0,3,['nordic folk metal']
Informer,Sugar Minott,False,12,17,"['dub', 'lovers rock', 'old school dancehall', 'reggae', 'rocksteady', 'roots reggae']"
Tenderly,Billie Holiday,False,40,67,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'soul', 'swing', 'torch song', 'vocal jazz']"
Ice Cream Cakes,Jeff Beck,False,21,33,"['album rock', 'blues', 'blues rock', 'british blues', 'classic rock', 'electric blues', 'hard rock', 'instrumental rock', 'jazz fusion', 'progressive rock']"
戀愛天才,Kary Ng,False,2,40,['cantopop']
Better Off That Way,Steve Smith,False,0,1,[]
Groove It,Gene Latter,False,0,0,['northern soul']
Get On Our Own - 1996 Remastered Version,Buzzcocks,False,19,34,"['alternative rock', 'britpop', 'madchester', 'new wave', 'post-punk', 'punk', 'uk post-punk']"
Rossignol Montmartrois - Polka,Jo Privat,False,0,9,"['bal-musette', 'jazz accordion']"
Anybody Seen My Girl,Keb' Mo',False,25,43,"['acoustic blues', 'blues', 'country blues', 'electric blues', 'modern blues', 'piedmont blues']"
Ku Klux Klan,Steel Pulse,False,20,25,"['reggae', 'roots reggae', 'uk reggae']"
A Girls Oath,Eluveitie,False,17,46,"['celtic metal', 'folk metal', 'gothic metal', 'gothic symphonic metal', 'hurdy-gurdy', 'power metal', 'swiss metal', 'symphonic metal']"
Shape of My Heart,Backstreet Boys,False,70,69,"['boy band', 'dance pop', 'pop']"
Lively Up Yourself,Bob Marley & The Wailers,False,52,62,"['reggae', 'roots reggae']"
I denna ljuva sommartid,Sofia Karlsson,False,1,12,"['classic swedish pop', 'folkmusik', 'swedish jazz', 'swedish singer-songwriter']"
Because Of You,CeCe Winans,False,30,46,['gospel']
Just My Baby,Rickie Lee Jones,False,20,35,"['folk', 'singer-songwriter']"
Maybe Someday,Simply Red,False,20,46,"['british soul', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop']"
Letters to Norway,Planetakis,False,0,2,['solipsynthm']
Spoonful - Live,Robben Ford,False,5,15,"['blues', 'electric blues', 'jazz blues', 'jazz fusion', 'modern blues', 'soul blues']"
Silence,Mothers Pride,False,0,2,[]
Absolute Horizon,Byzantine,False,0,3,"['groove metal', 'west virginia metal']"
"Bright Lights, Big City",Max B,False,22,24,['nyc rap']
Turnpike,Halfway to Gone,False,10,15,"['alternative roots rock', 'retro metal']"
Life Is Real,Ayọ,False,38,47,['neo soul']
The First Leaves of Autumn,The Fureys,False,24,45,['irish folk']
By Faith I Can Touch Him Now,The Perrys,False,1,6,"['family gospel', 'southern gospel']"
Passover - 2020 Digital Master,Joy Division,False,36,46,"['alternative rock', 'indie rock', 'madchester', 'new wave', 'post-punk', 'punk', 'rock', 'uk post-punk']"
Communication - More Mix,Mario Più,False,3,4,"['italian trance', 'italo dance']"
Rock & Roll Renegade,The Frantic,False,0,3,[]
Soo Bawlz - 2010 Remaster,DEVO,False,9,28,"['alternative rock', 'art punk', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'synth punk', 'synthpop', 'zolo']"
Genius,Kings of Leon,False,35,59,"['modern rock', 'rock']"
Evil Hearted Ada,Flamin' Groovies,False,14,33,"['power pop', 'protopunk']"
紀念品,Candy Lo,False,0,5,['cantopop']
Studio Dialogue - #19,The Stooges,False,0,15,"['alternative rock', 'detroit rock', 'permanent wave', 'protopunk', 'punk']"
Roll Back the Clouds,Christie Hennessy,False,30,32,"['irish country', 'irish folk']"
Introduction,Marga Gomez,False,0,0,['comedienne']
Oriza Eh,Roberto Roena Y Su Apollo Sound,False,12,47,['salsa']
My Party - Chad Hugo/Kenna Remix,Kings of Leon,False,14,16,"['modern rock', 'rock']"
Hole in the Coal (Alternate Take),Pentangle,False,1,24,"['british folk', 'folk rock', 'psychedelic folk']"
Suite nupcial - Directo Enjoy 07,Jaime Urrutia,False,6,32,"['spanish new wave', 'spanish pop']"
"Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) - LP Mix",A Tribe Called Quest,False,55,67,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']"
Evalia,Placebo,False,12,36,"['alternative rock', 'britpop', 'permanent wave', 'rock']"
Boulevard In Heaven,Barbara Fairchild,False,0,1,"['arkansas country', 'classic country pop', 'country gospel']"
Two Four One,Dave & Ansell Collins,False,4,39,['early reggae']
Stagger Lee,Nick Cave & The Bad Seeds,False,39,55,"['alternative rock', 'permanent wave', 'singer-songwriter']"
Thresh Hold,Uphill Battle,False,0,1,['american grindcore']
Neir,Mau Mau,False,0,2,"['folk rock italiano', 'musica etnica', 'musica piemonteisa']"
Survivalism,Nine Inch Nails,False,32,43,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'grunge', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']"
Sarah Palin (I Wanna Lay Pipe) - Instrumental,John Brown,False,0,0,[]
Nowhere To Run,Michael McDonald,False,17,47,"['mellow gold', 'soft rock', 'yacht rock']"
Chlore,Pascal Obispo,False,5,44,"['chanson', 'french pop']"
AquaCityBoy,K-OS,False,5,29,"['alternative hip hop', 'canadian hip hop', 'canadian old school hip hop']"
Santa Claus Is Coming To Town,Buddy Miles,False,6,12,"['psychedelic soul', 'rock drums']"
Fat Tianne,Tanto Metro & Devonte,False,6,33,"['dancehall', 'jamaican dancehall']"
Houston Anthem,DJ Nasty,False,0,1,['ghettotech']
Til The Storm Passes By,Bill & Gloria Gaither,False,6,29,['southern gospel']
Width Of The World,Tin Hat Trio,False,4,21,"['indie jazz', 'modern chamber music']"
Music Of The Sun,Rihanna,False,34,75,"['barbadian pop', 'pop', 'urban contemporary']"
More Than One Love - Extra Bonus Version,Venice,False,0,0,[]
Street Lights,Kanye West,False,60,81,"['chicago rap', 'hip hop', 'rap']"
Fire - Orange Factory Dub,Dolce,False,0,5,[]
Pegadito,Tommy Torres,False,44,45,"['latin pop', 'puerto rican pop']"
Curiosity,The Jets,False,13,51,"['freestyle', 'minneapolis sound']"
Cuando Ya Me Empiece a Quedar Solo,Sui Generis,False,41,55,"['argentine rock', 'rock nacional']"
La Matanza,Grace Gale,False,2,9,['screamocore']
Medley final (Live),Kassav',False,10,17,"['musique guadeloupe', 'zouk']"
Beautiful,Eminem,False,67,76,"['detroit hip hop', 'hip hop', 'rap']"
Juggernaut,Cauda Pavonis,False,0,5,['corrosion']
On Tha Rox,King Tee,False,11,34,"['g funk', 'old school hip hop', 'west coast rap']"
I Used to Love You (But It's All Over Now),Bing Crosby,False,28,43,"['adult standards', 'easy listening', 'lounge', 'swing']"
No More Troubles,Sunnyland Slim,False,0,2,"['chicago blues', 'delta blues', 'piano blues']"
Two Sided Politics,Suicidal Tendencies,False,41,57,"['alternative metal', 'california hardcore', 'crossover thrash', 'funk metal', 'hard rock', 'hardcore punk', 'metal', 'nu metal', 'old school thrash', 'punk', 'thrash metal']"
Firedance,Mystic Rhythms Band,False,0,0,['world chill']
The Keys,Jerry Goldsmith,False,3,17,"['classic soundtrack', 'orchestral soundtrack', 'soundtrack']"
Prelude In C Minor From The Well Tempered-Clavier,Johann Sebastian Bach,False,11,24,"['baroque', 'classical', 'early music', 'german baroque']"
Love Can Run Faster,Robert Palmer,False,13,51,"['album rock', 'classic rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'singer-songwriter', 'soft rock', 'yacht rock']"
Juste une fois - Version instrumentale,Alexis HK,False,0,0,"['french folk pop', 'french rock', 'nouvelle chanson francaise']"
New Detroit,Neon Blonde,False,7,20,['sasscore']
Proud,Korn,False,31,57,"['alternative metal', 'funk metal', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
Hopelessly,Epitaph,False,3,14,"['german hard rock', 'german prog', 'german rock', 'psychedelic blues-rock']"
da da Diamonds,Soul Ballet,False,11,26,['smooth jazz']
The Blue Side of The Sun,Sigmatropic,False,0,3,[]
Platoon Goons,Snowgoons,False,6,23,"['flick hop', 'underground rap']"
Nigun,Kol Simcha,False,0,3,[]
Questo sporco mondo meraviglioso - String and Chorus Version,Piero Umiliani,False,20,19,['vintage italian soundtrack']
Paul - Skit,Eminem,False,38,83,"['detroit hip hop', 'hip hop', 'rap']"
Up Close and Personal,Bukue One,False,0,0,[]
Stay Awhile,Danny Williams,False,0,0,[]
Have You Got a Minute to Spare,Mikey Dread,False,2,39,"['dub', 'old school dancehall', 'reggae', 'roots reggae']"
Liar in the Glass (feat. Diamond Geezer & N8loc) - UK Remix,Eyes Set To Kill,False,1,7,"['metalcore', 'pixie', 'screamo']"
Dolorosa - Live,Cali,False,4,19,"['chanson', 'french pop', 'french rock', 'nouvelle chanson francaise']"
Ooh Baby (feat. Lil Bandit & Royal T),Mr. Sancho,False,0,8,['chicano rap']
Pantera Fans In Love,Nerf Herder,False,25,34,"['power-pop punk', 'socal pop punk']"
Looking For Clues,Robert Palmer,False,41,53,"['album rock', 'classic rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'singer-songwriter', 'soft rock', 'yacht rock']"
Personne Stop - Feat. Nixon,Royal S,False,0,0,['jumpstyle']
After The Dark,Jimmy McGriff,False,1,2,"['hammond organ', 'jazz funk', 'jazz organ', 'soul jazz']"
Girls All Pause,Kurupt,False,27,45,"['g funk', 'west coast rap']"
懂事,Stefanie Sun,False,17,57,"['mandopop', 'singaporean mandopop', 'singaporean pop', 'singaporean singer-songwriter']"
Death Of Neira,Nightfall,False,1,4,['greek metal']
My Lord - Screwed & Chopped,David Banner,False,0,5,"['conscious hip hop', 'crunk', 'dirty south rap', 'mississippi hip hop', 'southern hip hop']"
Whispering Grass,The Knightsbridge Strings,False,0,0,[]
Occasional Rain,Terry Callier,False,10,32,[]
Quieres Ver Llorar Otra Vez A Mi Corazón,Grupo Abracadabra,False,10,55,['grupero romantico']
Endless Ocean,Event Horizon,False,5,10,[]
Ya Got Me,Leonard Bernstein,False,1,18,"['american modern classical', 'classical', 'orchestral performance']"
The High And The Mighty,Roger Williams,False,37,40,['easy listening']
Again,Janet Jackson,False,54,64,"['dance pop', 'r&b', 'urban contemporary']"
Tobacco Spit,Bare Jr.,False,2,16,[]
Just One Of Those Things,Dionne Warwick,False,2,16,"['adult standards', 'brill building pop', 'disco', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
...and Heavens Cried Blood,Swallow The Sun,False,23,39,"['doom metal', 'finnish death metal', 'finnish doom metal', 'finnish melodeath', 'finnish metal', 'melodic death metal']"
Domino,KISS,False,42,52,"['glam rock', 'hard rock', 'rock']"
Where in the World,Tony Martin,False,0,0,['deep adult standards']
Dedicado,Miguel Gallardo,False,33,35,"['pop romantico', 'ranchera']"
To Your Arms Of Love,Jah Cure,False,8,26,['reggae fusion']
Aguas Claras de Olimpos,Pescado Rabioso,False,25,47,"['argentine rock', 'rock nacional']"
Appapas Del Calabar,Los Van Van,False,14,44,"['cuban funk', 'cuban rumba', 'salsa', 'salsa cubana', 'timba']"
Side Street,Viktor Krauss,False,1,12,[]
Moonlight Lover,Barbara Jones,False,0,16,['lovers rock']
Think About Me,Sister Hazel,False,14,58,"['neo mellow', 'pop rock', 'post-grunge']"
Meat Parade,Lockwood,False,0,0,[]
Even If I Tried,Emilio,False,22,27,[]
