title,artist,isHot,popularity,album_popularity,genres
Cowboy Songs,George Birge,True,51,50,"['modern country pop', 'texas country']"
On efface,Julie Zenatti,False,1,14,"['chanson', 'french pop']"
Howells Delight,Anonymous,False,0,0,['medieval']
Martha Served,I Hate Sally,False,1,6,"['canadian metal', 'canadian post-hardcore', 'kingston on indie']"
"Zip-a-Dee-Doo-Dah (From ""Song of the South"")",Orlando Pops Orchestra,False,0,1,['pops orchestra']
Misery Path - From the Privilege of Evil,Amorphis,False,7,27,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'folk metal', 'gothic metal', 'melodic death metal', 'metal', 'power metal', 'progressive doom', 'symphonic metal', 'viking metal']"
"Nuovi Re, Pt. I I (feat. Tek Money - Lady Tambler)",Inoki,False,6,28,"['italian hip hop', 'italian underground hip hop']"
Halloween,Dead Kennedys,False,38,53,"['alternative rock', 'early us punk', 'hardcore punk', 'punk']"
Parto em Terras Distantes,Brigada Victor Jara,False,0,1,"['fado', 'folclore portugues']"
What Drives the Weak,Shadows Fall,False,33,41,"['alternative metal', 'boston metal', 'industrial metal', 'melodic metalcore', 'melodic thrash', 'metalcore', 'new england metal', 'nu metal']"
Life Force,Vanessa Daou,False,1,8,['downtempo']
The Dance Of Europe,Dave Brockie Experience,False,4,20,['comedy rock']
Spoonie Is Back,Spoonie Gee,False,4,8,"['harlem hip hop', 'old school hip hop']"
Up Above My Head I Hear Music In The Air,Sister Rosetta Tharpe,False,22,37,"['acoustic blues', 'gospel blues', 'traditional blues']"
Columbia - Remastered,Oasis,False,44,66,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']"
Radar For Love,KISS,False,21,45,"['glam rock', 'hard rock', 'rock']"
Antarctica Starts Here - Remastered 2024,John Cale,False,25,45,"['art rock', 'melancholia', 'singer-songwriter']"
Everyone Make Love,Cool Cavemen,False,0,0,[]
Calm Da Seas,Dave Hollister,False,5,24,"['contemporary r&b', 'new jack swing', 'r&b']"
Ran Kan Kan,Néstor Torres,False,12,18,[]
Afraid Of Change - Tribal Vocal Mix,Casa Bulga,False,0,0,[]
"Grow Up, Grow Old",Debbie Davies,False,0,20,"['electric blues', 'modern blues', 'power blues-rock']"
Walk Away From Love,Willie Clayton,False,8,12,"['chicago blues', 'chicago soul', 'soul blues', 'southern soul', 'southern soul blues']"
Strange Things,Tanto Metro & Devonte,False,0,3,"['dancehall', 'jamaican dancehall']"
Dholna Ve Ranjna,Naseebo Lal,False,16,17,"['classic pakistani pop', 'sufi']"
Parchman Farm,Hot Tuna,False,0,0,"['blues rock', 'country rock', 'electric blues', 'jam band', 'psychedelic rock', 'roots rock']"
A Lo Clásico,Daddy Yankee,False,29,74,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
只想你會意,Hacken Lee,False,28,43,"['c-pop', 'cantopop', 'classic cantopop']"
Amaze,Jimmy Riley,False,0,6,"['lovers rock', 'old school dancehall', 'reggae', 'rocksteady', 'roots reggae']"
Radio Rape,The Cortinas,False,0,4,['deep punk rock']
Cavaleiro De Aruanda,Jongo Trio,False,10,9,[]
Tell Me Why,George Nooks,False,0,16,"['deep ragga', 'gospel reggae', 'lovers rock', 'old school dancehall', 'roots reggae']"
Czwarty,Energy,False,0,0,[]
Washington Post - 1998 Digital Remaster,John Philip Sousa,False,1,11,"['american romanticism', 'concert band']"
No Pienses Asi,Eddie Palmieri,False,6,22,"['jazz piano', 'latin jazz', 'salsa']"
Cavalleria Rusticana,William Orbit,False,21,38,"['classic progressive house', 'downtempo', 'intelligent dance music']"
Forever,Chris Brown,False,77,73,"['r&b', 'rap']"
Amor a Medias,Ha*Ash,False,53,63,"['latin arena pop', 'latin pop', 'mexican pop']"
15 Step,Radiohead,False,64,82,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
I Love Your Way,Kashief Lindo,False,1,5,"['deep ragga', 'lovers rock', 'old school dancehall']"
Raise Your Hands,Bon Jovi,False,49,84,"['glam metal', 'rock']"
Rainbow Dance,John Tchicai,False,0,0,"['avant-garde jazz', 'free jazz', 'jazz saxophone']"
Champagne & Reefer,Bongzilla,False,21,32,"['doom metal', 'drone metal', 'sludge metal', 'stoner metal', 'stoner rock']"
I Need a Veggie,John Holt,False,0,0,"['dub', 'lovers rock', 'reggae', 'rocksteady', 'roots reggae']"
Get Happy,Danny Wilson,False,1,17,"['new wave pop', 'scottish new wave', 'sophisti-pop']"
Cry for Love,Capleton,False,2,6,"['dancehall', 'lovers rock', 'reggae', 'roots reggae']"
Volumatic Spacer Device,The Chap,False,0,2,"['british experimental', 'experimental pop']"
Putt Jhatt Da Gulabi Phull Varga,Dj Vix,False,1,24,['bhangra']
Namibia,Ziggy Marley & The Melody Makers,False,5,19,"['reggae', 'roots reggae']"
Unlearn,Crematorium,False,0,3,[]
Sweet Lady - Instrumental,Floyd Lloyd,False,0,0,[]
Forever More (Francois K & Eric Kupper Vocal Mix),Moloko,False,29,39,"['electronica', 'trip hop']"
3,Britney Spears,False,57,55,"['dance pop', 'pop']"
Meet Me in the City,Junior Kimbrough,False,42,42,"['acoustic blues', 'country blues', 'delta blues', 'traditional blues']"
"Oh, What A Feeling",The Everly Brothers,False,10,47,"['adult standards', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']"
Heyya Heyya,Ramy Ayach,False,0,25,"['arab pop', 'lebanese pop']"
Misty Valley,Peter Yorke,False,2,17,[]
Sehnsuchtsexpress,Frl. Menke,False,0,1,['neue deutsche welle']
Come Alive,Agnostic Front,False,8,34,"['chicano punk', 'crossover thrash', 'hardcore', 'hardcore punk', 'nyhc', 'old school thrash', 'punk']"
Spitting Games,Snow Patrol,False,50,62,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']"
Check The Bomb,Refractory,False,2,23,[]
System of Play,Theodor Zox,False,0,0,[]
Birch,Maximilian Hecker,False,0,5,['melancholia']
Same Old Thing,Albert Collins,False,3,29,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues', 'traditional blues']"
Voodoo Doll,Fergie,False,17,48,"['dance pop', 'pop']"
Nerio Compra Una Contestadora,Los Amigos Invisibles,False,0,44,"['latin afrobeat', 'latin alternative', 'latin funk', 'latin rock', 'rock en espanol', 'venezuelan indie', 'venezuelan rock']"
Killer - Single Version,Seal,False,21,18,"['british soul', 'new wave pop']"
Sunset Manifesto,Flink,False,0,0,[]
From My Hands,Salt The Wound,False,9,12,['deathcore']
Frei zu sein,In Extremo,False,47,46,"['folk metal', 'german metal', 'hurdy-gurdy', 'medieval rock', 'neue deutsche harte']"
Grown & Sexy,DJ Omega,False,16,13,['ghettotech']
Pussy Hole,DJ Nasty,False,1,1,['ghettotech']
El Divertido,Orquesta La Sublime,False,0,10,['musica tradicional cubana']
Blackwood Moth,Milieu,False,2,14,['deep idm']
Dreaming Of April,Out Of The Grey,False,2,15,['deep christian rock']
New Sensation,Snow Patrol,False,16,18,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']"
For The Good Times,Dart,False,0,8,[]
Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls,Pelle Carlberg,False,10,11,"['svensk indie', 'twee pop', 'uppsala indie']"
Never Alone,Open Hand,False,2,13,['spacegrunge']
Chatterbox,Sex Pistols,False,0,2,"['alternative rock', 'punk', 'rock']"
Sporco Ma Distinto,Ennio Morricone,False,1,12,"['classic soundtrack', 'italian soundtrack', 'orchestral soundtrack', 'vintage italian soundtrack']"
Elle Et Moi,Koffi Olomide,False,19,30,"['azontobeats', 'ndombolo', 'rumba congolaise', 'soukous', 'zilizopendwa']"
Columbus Stockade Blues,Charlie McCoy,False,5,15,['harmonica blues']
Damn That Radio - Live,The Wreckers,False,6,14,"['candy pop', 'country dawn']"
Camisa Amarela,Gal Costa,False,25,46,"['bossa nova', 'mpb', 'tropicalia']"
Style,Enuff Z'Nuff,False,1,9,"['glam metal', 'underground power pop']"
Keep the Circle Around (2023 Remaster),Inspiral Carpets,False,3,14,"['britpop', 'madchester']"
Wot U Say,Various Production,False,0,0,[]
幸災樂禍,Eason Chan,False,9,38,"['c-pop', 'cantopop', 'mandopop']"
Birth Of The Falls,Stephen Warbeck,False,0,4,"['british soundtrack', 'soundtrack']"
For Me This Is Happy,Gene Pitney,False,0,3,"['adult standards', 'brill building pop', 'merseybeat', 'rock-and-roll', 'rockabilly']"
Ithaki,Peggy Zina,False,0,2,"['greek pop', 'laiko']"
Guilty Partner - 2015 Remaster,New Order,False,28,48,"['alternative rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'permanent wave', 'post-punk', 'synthpop', 'uk post-punk']"
Delilah,The Sensational Alex Harvey Band,False,20,19,['glam rock']
Our Lady of Fatima (Original Mix),Kitty Kallen,False,0,9,['torch song']
I Got A Seecret,Redman,False,2,12,"['east coast hip hop', 'hardcore hip hop', 'new jersey rap', 'wu fam']"
Banda Yango,Tshala Muana,False,7,36,"['soukous', 'zilizopendwa']"
Song For Love,Extreme,False,31,70,"['funk metal', 'glam metal', 'hard rock']"
Nachts Um Halb Drei,Janina,False,0,1,[]
Iron Man,Mat Maneri,False,0,0,"['avant-garde jazz', 'free improvisation', 'free jazz', 'jazz violin', 'modern free jazz']"
